Text#,Title,Authors,LoCC,genre
68758,The fortunes of Fifi,"Seawell, Molly Elliot, 1860-1916; Thulstrup, Thure de, 1848-1930 [Illustrator]",PS,fiction
8590,Auld Licht Idyls,"Barrie, J. M. (James Matthew), 1860-1937",PR,fiction
1700,The Life of Charlotte Brontë — Volume 2,"Gaskell, Elizabeth Cleghorn, 1810-1865",PR,fiction
25688,"The Transformation of Job
A Tale of the High Sierras","Fisher, Frederick Vining, 1866-",PS,fiction
23001,"By The Sea
1887","Chaplin, Heman White, 1847-1924",PS,fiction
21238,The Castaways,"Reid, Mayne, 1818-1883; Pearse, Lolbran [Illustrator]",PZ,fiction
11546,"The Autobiography of a Journalist, Volume I","Stillman, William James, 1828-1901",PS,fiction
7704,"""My Novel"" — Volume 03","Lytton, Edward Bulwer Lytton, Baron, 1803-1873",PR,fiction
72697,The vow,"Trent, Paul, 1872-1946; Rae, John, 1882-1963 [Illustrator]",PR,fiction
58513,Mary Louise Adopts a Soldier,"Baum, L. Frank (Lyman Frank), 1856-1919; Sampson, Emma Speed, 1868-1947; Wyckoff, Joseph W., 1883- [Illustrator]",PZ,fiction
6357,"Snowflakes and Sunbeams; Or, The Young Fur-traders: A Tale of the Far North","Ballantyne, R. M. (Robert Michael), 1825-1894",PZ,fiction
63817,Fog of the Forgotten,"Wells, Basil, 1912-2003; Leydenfrost, Alexander, 1888-1961 [Illustrator]",PS,fiction
41438,The Heart of Princess Osra,"Hope, Anthony, 1863-1933; Edwards, H. C. (Harry C.), 1868-1922 [Illustrator]",PR,fiction
2183,Three men on the bummel,"Jerome, Jerome K. (Jerome Klapka), 1859-1927",PR,fiction
2025,My Lady Caprice,"Farnol, Jeffery, 1878-1952",PR,fiction
7104,"Adventures of Huckleberry Finn, Chapters 21 to 25","Twain, Mark, 1835-1910",PZ; PS,fiction
20815,A Soldier of the Legion,"Williamson, C. N. (Charles Norris), 1859-1920; Williamson, A. M. (Alice Muriel), 1869-1933",PR,fiction
21821,The Mark of Cain,"Lang, Andrew, 1844-1912",PR,fiction
53156,"Rhymes of Northern Bards
Being a Curious Collection of Old and New Songs and Poems, Peculiar to the Counties of Newcastle upon Tyne, Northumberland, and Durham","Bell, J. J. (John Joy), 1871-1934 [Editor]",PR,fiction
64880,The Facts of Life,"Miller, P. Schuyler (Peter Schuyler), 1912-1974; Mirando, Michael [Illustrator]",PS,fiction
1825,The Adventures of Reddy Fox,"Burgess, Thornton W. (Thornton Waldo), 1874-1965",PZ,fiction
