dimension,author_nationality,reasoning_type,Qwen_7B_mean_brier,Qwen_7B_mean_accuracy,Qwen_7B_n,Qwen_32B_mean_brier,Qwen_32B_mean_accuracy,Qwen_32B_n,source_genre,date_bin
author_nationality,American,abstention,0.2509,0.2083,24,0.2442,0.125,24,,
author_nationality,American,character_modeling,0.2274,0.1071,28,0.2158,0.1786,28,,
author_nationality,American,constrained_generation,0.1948,0.2692,52,0.1894,0.2885,52,,
author_nationality,American,inference,0.1487,0.4808,52,0.1354,0.5192,52,,
author_nationality,American,knowledge,0.1625,0.3594,64,0.1656,0.4219,64,,
author_nationality,American,phrase_cloze,0.2031,0.08,100,0.1801,0.14,100,,
author_nationality,American,sentence_cloze,0.1939,0.0933,75,0.1776,0.16,75,,
author_nationality,American,topic_sentence,0.1448,0.3478,23,0.1512,0.1739,23,,
author_nationality,British Isles,abstention,0.3151,0.05,20,0.3012,0.05,20,,
author_nationality,British Isles,character_modeling,0.2314,0.2364,55,0.2139,0.2364,55,,
author_nationality,British Isles,constrained_generation,0.1942,0.1316,38,0.1957,0.2105,38,,
author_nationality,British Isles,inference,0.1796,0.2857,21,0.1641,0.381,21,,
author_nationality,British Isles,knowledge,0.1538,0.35,20,0.1367,0.55,20,,
author_nationality,British Isles,phrase_cloze,0.1924,0.2,35,0.1811,0.2,35,,
author_nationality,British Isles,sentence_cloze,0.1934,0.0345,29,0.1733,0.1379,29,,
author_nationality,British Isles,topic_sentence,0.2749,0.0,1,0.3119,0.0,1,,
author_nationality,Canadian,knowledge,0.169,0.0,1,0.1502,0.0,1,,
author_nationality,Canadian,phrase_cloze,0.2401,0.0,7,0.199,0.2857,7,,
author_nationality,Canadian,sentence_cloze,0.1852,0.0,3,0.1606,0.0,3,,
author_nationality,Chinese,phrase_cloze,0.1219,0.5,2,0.2012,0.0,2,,
author_nationality,Chinese,sentence_cloze,0.1199,0.0,1,0.1389,0.0,1,,
author_nationality,Chinese-American,constrained_generation,0.2149,0.0,1,0.2075,0.0,1,,
author_nationality,Indian,constrained_generation,0.1382,0.5,4,0.165,0.5,4,,
author_nationality,Italian,topic_sentence,0.2016,0.0,1,0.1874,0.0,1,,
author_nationality,Japanese,phrase_cloze,0.2128,0.0,1,0.1618,0.0,1,,
author_nationality,Japanese,sentence_cloze,0.2308,0.0,2,0.2425,0.0,2,,
author_nationality,South African,character_modeling,0.2444,0.125,8,0.218,0.25,8,,
author_nationality,US,phrase_cloze,0.1717,0.4,5,0.1444,0.4,5,,
author_nationality,US,sentence_cloze,0.2534,0.0,2,0.2258,0.0,2,,
author_nationality,Unknown,abstention,0.3641,0.0,11,0.3145,0.0909,11,,
author_nationality,Unknown,inference,0.1493,0.0,1,0.1418,0.0,1,,
author_nationality,Unknown,phrase_cloze,0.1756,0.1667,12,0.1724,0.0,12,,
author_nationality,Unknown,sentence_cloze,0.1546,0.3333,6,0.1496,0.3333,6,,
author_nationality,multiple,phrase_cloze,0.1937,0.0,2,0.1249,0.0,2,,
author_nationality,multiple,sentence_cloze,0.1991,0.0,2,0.1745,0.0,2,,
source_genre,,constrained_generation,0.3036,0.0,1,0.2843,0.0,1,Unknown,
source_genre,,phrase_cloze,0.1717,0.4,5,0.1444,0.4,5,\,
source_genre,,sentence_cloze,0.2534,0.0,2,0.2258,0.0,2,\,
source_genre,,constrained_generation,0.2625,0.0,2,0.2703,0.0,2,"a selection of essays from the periodical ""Irish Freedom""",
source_genre,,constrained_generation,0.1635,0.5,2,0.1493,0.5,2,argument about evolution and eugenics mixed with recommendations for personal hygiene,
source_genre,,constrained_generation,0.1956,0.3333,3,0.1937,0.0,3,autobiography,
source_genre,,knowledge,0.1043,1.0,1,0.1368,0.0,1,autobiography,
source_genre,,phrase_cloze,0.1851,0.0,1,0.1917,0.0,1,autobiography,
source_genre,,sentence_cloze,0.2291,0.0,2,0.1641,0.0,2,autobiography,
source_genre,,abstention,0.2369,0.5,2,0.2071,0.5,2,biographical dictionary,
source_genre,,constrained_generation,0.1453,0.5,2,0.1385,0.5,2,biographical dictionary,
source_genre,,phrase_cloze,0.1766,0.0,2,0.1484,0.5,2,biography,
source_genre,,sentence_cloze,0.1754,0.0,2,0.1361,0.5,2,biography,
source_genre,,phrase_cloze,0.2399,0.0,3,0.1817,0.0,3,book,
source_genre,,sentence_cloze,0.2009,0.0,2,0.1995,0.0,2,book,
source_genre,,topic_sentence,0.1788,0.0,1,0.1635,0.0,1,book,
source_genre,,phrase_cloze,0.2423,0.0,9,0.2073,0.0,9,book of essays,
source_genre,,sentence_cloze,0.1775,0.1667,6,0.1686,0.1667,6,book of essays,
source_genre,,constrained_generation,0.2089,0.0,10,0.2101,0.2,10,book of poems,
source_genre,,inference,0.095,1.0,3,0.1311,0.6667,3,book of poems,
source_genre,,phrase_cloze,0.2077,0.2,5,0.1505,0.4,5,book of travel and natural description,
source_genre,,sentence_cloze,0.2364,0.0,2,0.2555,0.0,2,book of travel and natural description,
