dimension,group_value,author_nationality,Qwen_7B_mean_brier,Qwen_7B_std_brier,Qwen_7B_mean_accuracy,Qwen_7B_std_accuracy,Qwen_7B_n,Qwen_32B_mean_brier,Qwen_32B_std_brier,Qwen_32B_mean_accuracy,Qwen_32B_std_accuracy,Qwen_32B_n,n_questions,author_profession,source_genre,date_bin
author_nationality,American,American,0.1886,0.0799,0.2225,0.4159,418,0.1775,0.0753,0.256,0.4364,418,418,,,
author_nationality,British Isles,British Isles,0.2095,0.0871,0.1826,0.3864,219,0.1967,0.0827,0.2374,0.4255,219,219,,,
author_nationality,Canadian,Canadian,0.2187,0.0431,0.0,0.0,11,0.1841,0.0761,0.1818,0.3857,11,11,,,
author_nationality,Chinese,Chinese,0.1212,0.0559,0.3333,0.4714,3,0.1805,0.0771,0.0,0.0,3,3,,,
author_nationality,Chinese-American,Chinese-American,0.2149,nan,0.0,nan,1,0.2075,nan,0.0,nan,1,1,,,
author_nationality,Indian,Indian,0.1382,0.0366,0.5,0.5,4,0.165,0.0277,0.5,0.5,4,4,,,
author_nationality,Italian,Italian,0.2016,nan,0.0,nan,1,0.1874,nan,0.0,nan,1,1,,,
author_nationality,Japanese,Japanese,0.2248,0.0089,0.0,0.0,3,0.2156,0.0381,0.0,0.0,3,3,,,
author_nationality,South African,South African,0.2444,0.083,0.125,0.3307,8,0.218,0.0791,0.25,0.433,8,8,,,
author_nationality,US,US,0.195,0.1057,0.2857,0.4518,7,0.1677,0.0683,0.2857,0.4518,7,7,,,
author_nationality,Unknown,Unknown,0.2396,0.1216,0.1333,0.3399,30,0.2189,0.1063,0.1,0.3,30,30,,,
author_nationality,multiple,multiple,0.1964,0.0498,0.0,0.0,4,0.1497,0.0428,0.0,0.0,4,4,,,
author_profession,Unknown,,0.2081,0.0974,0.2118,0.4086,321,0.1984,0.0911,0.2492,0.4326,321,321,Unknown,,
author_profession,writer,,0.1945,0.0469,0.0811,0.273,37,0.1836,0.0401,0.1081,0.3105,37,37,writer,,
author_profession,mathematician,,0.1525,0.0878,0.4545,0.4979,22,0.1255,0.0721,0.5909,0.4917,22,22,mathematician,,
author_profession,author,,0.1817,0.057,0.2941,0.4556,17,0.1596,0.0468,0.3529,0.4779,17,17,author,,
author_profession,literary scholar,,0.1722,0.0513,0.2857,0.4518,14,0.1673,0.0642,0.2143,0.4103,14,14,literary scholar,,
author_profession,mathematics teacher,,0.139,0.0564,0.5,0.5,14,0.1221,0.0577,0.6429,0.4792,14,14,mathematics teacher,,
author_profession,radio engineer,,0.2038,0.0759,0.1538,0.3608,13,0.2029,0.0744,0.2308,0.4213,13,13,radio engineer,,
