text	label
The view from the bridge, looking towards the river with the handsome Russian Consulate on the left and the Gardens on the right, is very good. The greenhouses of the Public Gardens occupy the corner between the Bund and the Soochow Road—they are always well stocked with plants. Across the road are the Public Gardens, much too small, but invaluable to the Settlement.	0
150 feet above the river, and the view is magnificent. The bridge is approached by a flight of steps, and there are also steps leading down to the river.  The bridge is open to the public, and is used as a promenade.  It is said that the bridge was built by the French, but that they were unable to pay for it, and that the Chinese Government took it over.  The bridge is now under the control of the Chinese Government.  It is called the Garden Bridge because it leads to the gardens on the north bank of the river.  The gardens are laid out in the Chinese style, and contain many fine trees and shrubs.  There	1
so that Gaol Sessions are no longer necessary	0
1. Sessions, 1884. 2. 1884	1
I can't think how you came by such a notion, Marian,	0
"I don't think you'd like it, Marian. It's a very dirty place, and I don't think you'd care for the people."  "Oh, I should like it," said Marian, "and I should like to see the washerwoman."  "Well, you can	1
though disastrous to their arms, as a natural and necessary phase of their political development	0
236 but they were not blind to the fact that England had been the first to introduce steam navigation into the Black Sea. 237. The Russians are a people of great national pride	1
Thus we see in the mythology a certain cycle of the oppositions of the two struggling principles or powers.	0
1000 years ago, the people of the north had no idea of the existence of the Great-Land-Master. 1000 years ago, the people of the north had	1
We recognize national traits of character, which, differing from each other, cannot all be virtues, and some of which must therefore be deemed faults. These, not being essential to the organization, in the course of the intermingling of races disappear by neutralizing each other, while, the higher qualities remaining, a higher type is evolved.	0
1. The higher the temperature, the greater is the rate of evaporation. 2. The higher the temperature, the more rapid is the evaporation.	1
if purchased when small, are inexpensive	0
are not so hardy as the others. 136. 137	1
Its this, its about yourself. What ails ye? I don't like to see ye.	0
"Why did you leave Camberwell? Why did you go away? I thought you were going to marry me." "I am going to marry you," said he. "Then why did you	1
so that at his death his own son saw himself master of a country not less than 255,000 square miles in extent	0
and his empire was greatly strengthened. 125. 1632-1646. Michael Romanoff. 126. 1646-1667. Alexis Romanoff. 127. 1667-17	1
This failure, however, of the electoral college to retain its power of independent choice is probably not much to be regretted.	0
1. It is not expected that the electors will exercise their own judgment. 2. It is not expected that they will vote for any other candidate than the one who has been nominated by the party. 3. It is not expected that they will vote for any other candidate than the one	1
but with no great success	0
185. In the meantime, the agents of the New England colonies were engaged in endeavours to counteract the influence of the French among the cant	1
But calm your fears, little creature, I will keep you from all harm.	0
114 Rabbit I am afraid, King. [masked sentence revising an implied expectation] 115 King Fear not, gentle Rabbit. I will protect you. [masked sentence revising	1
if the interrupted current we get a tetanus	0
138 138 138 138 138	1
Consequently all military schools not required for this purpose shall be abolished.	0
