text	label
Keep back-keep back- or I will shoot you dead and follow you to Hell over the krantz.	0
"Stephanus, I swear I will shoot you if you come any closer!"	1
Pa, it will be very lonely here while you are away.	0
"Oh, Uncle Diederick, I do hope you won't be gone too long! I fear I'll be dreadfully lonely without you."	1
Well, Jacomina, Ill have to see about getting a wife myself now. But you need not be afraid on account of Aunt Emerencia; no one, who is not a fool, buys an old mare when he can get a young one for the same price.	0
"Jacomina, I've set my mind on buying a new horse, and I'll have it today if I have to wait all day. And as for marriage, well, I'm not so sure about that yet."	1
The wolf is in a trap; for ten long years he will have to bite the door before it opens. Aletta, are you taking the part of this wolf—the jackal in a mans skin, against me?	0
"Aletta, I cannot believe that Stephanus is guilty. There must be some mistake."	1
Stephanus shot me by accident-I accused him falsely because I hated him all my life.	0
"Marta, I have wronged Stephanus. He was the one who shot me, not the other way around. I am truly sorry."	1
Kanu, are you here? Oh God, the baboons. Kanu-Kanu.	0
"Kanu! Where are you? I'm scared!"	1
Uncle Gideon, my father sent me back to live with you until his release.	0
"Mr. Gideon," she said softly, "Father sent me to stay with you. He said you would take good care of me."	1
You haven't had a single examination class yet; then it is clearly your duty to help the afflicted. Bear ye one another's burdens, you know. I shall have enough examination papers of my own before night.	0
"Marion, dear, I do hope you'll lend me a hand with these papers! Oh, how I dread marking them!"	1
Just let me ask you a question. Why did you think, before you were converted, that it was wrong for Christian people to dance?	0
"Eurie, I must say I was quite surprised to hear you say you used to dance. I always thought it was improper."	1
That is one of the marked difficulties. Now I have heard people talk, who led you to infer that it was the easiest thing in life to mold these young teachers into the required shape and form; that you had only to sweetly suggest and advise and direct, and they sweetly succumbed. Now, don't their mothers know that young ladies naturally do no such thing?	0
"Well, my dear," said Marion Wilbur, "it seems like spring already! I hope you've been enjoying your lessons."	1
Sure enough, Little Flossy, where are your verses? You were going to give us whatever you found in the Bible. You were the best witness of all, because you brought such an unprejudiced determination to the search.	0
"Flossy, my dear," said Marion Wilbur, her eyes twinkling with delight, "I've found some wonderful verses in our Bible today. Would you like to hear them?"	1
