text	label
Keep back-keep back- or I will shoot you dead and follow you to Hell over the krantz.	0
"I'll shoot you, Stephanus! I'll shoot you!"  Gideon's voice was hoarse and trembling.  "You have been a bad, bad boy, and I will shoot you."  "Gideon, Gideon," said Stephanus, "don't do it! Don't do it! I am your brother, and I love you. I know you don't mean to hurt me. Come, come, let us go home."  "No, no,	1
Pa, it will be very lonely here while you are away.	0
"Oh, Uncle Diederick, do not go! I shall be so lonely without you."  "I will take my wife with me, and we will have plenty of company."  "But, Uncle Diederick, you know I cannot bear to be left alone."  "Well	1
Well, Jacomina, Ill have to see about getting a wife myself now. But you need not be afraid on account of Aunt Emerencia; no one, who is not a fool, buys an old mare when he can get a young one for the same price.	0
"I'll have a horse of my own yet, Jacomina, and I'll ride him to church."  "And I'll be your wife, Uncle Diederick," said Jacomina, with a laugh.  "Yes, and I'll be your wife, too, and we'll go to church together."  "Oh, Uncle Diederick, you're a funny	1
The wolf is in a trap; for ten long years he will have to bite the door before it opens. Aletta, are you taking the part of this wolf—the jackal in a mans skin, against me?	0
"I have no right to say anything, but I cannot help thinking that you are wrong." "You are wrong, I am sure," said Aletta, with a smile. "I am sure you are wrong, and I am sure you will be sorry for it." "I am sorry for it now," said Gideon, with a sigh. "I am sorry for it now, and I shall be sorry for it always." "I am glad to hear you say so," said	1
Stephanus shot me by accident-I accused him falsely because I hated him all my life.	0
"I was wrong, Marta. I was wrong. I have been wrong all my life. I have been wrong."  He paused, and then added, "I am sorry, Marta. I am sorry."  He turned and went out.  The door closed behind him.  The room was silent.  The dying woman lay still.  The night was very still.  The stars were shining brightly.  The wind was blowing softly.  The leaves rustled gently.	1
Kanu, are you here? Oh God, the baboons. Kanu-Kanu.	0
"Kanu! Kanu! Where are you? I want you!"  "Poor little blind child!" said Mrs. Macdonald, as she gently stroked the child's head.  "Poor little blind child!" said Mr. Macdonald, as he held her in his	1
Uncle Gideon, my father sent me back to live with you until his release.	0
"I came to see you, Gideon," she said, in a low voice, and then, after a pause, added, "Father sent me."  "Poor little blind child!" said Gideon, as he took her hand.  "I am glad to see you, Elsie."  "I am glad to see you, too, Gideon."  "I have been thinking of you, Elsie, ever since I heard that you were coming."  "I have been thinking of you, Gideon, too."  "I have been thinking of you, El	1
You haven't had a single examination class yet; then it is clearly your duty to help the afflicted. Bear ye one another's burdens, you know. I shall have enough examination papers of my own before night.	0
"I am sure you will be able to do something for me, Marion. I have been working all day, and I am quite worn out. I want you to go over the examination papers with me."  "Oh, I don't think I can do it," said Marion. "I have had enough of examinations for one day."  "But you must, Marion; you must,"	1
Just let me ask you a question. Why did you think, before you were converted, that it was wrong for Christian people to dance?	0
