text	label
Keep back-keep back- or I will shoot you dead and follow you to Hell over the krantz.	0
"I will shoot you, Stephanus! I will shoot you!"  "No, no, Gideon, don't do it."  "I will shoot you, I tell you!"  "Gideon, Gideon, don't do it! I am your brother, and I love you."  "I will shoot you, I tell you!"  "Gideon, Gideon, don't do it! I am your brother, and I love you."  "I will	1
Pa, it will be very lonely here while you are away.	0
"I shall be lonely, Uncle Diederick, when you are away."  "You will have me to talk to, my dear," said Uncle Diederick, patting her hand.  "And I shall have you to think of."  "Oh, yes; but I shall	1
Well, Jacomina, Ill have to see about getting a wife myself now. But you need not be afraid on account of Aunt Emerencia; no one, who is not a fool, buys an old mare when he can get a young one for the same price.	0
"I'll have a look at the mare to-morrow, Jacomina, and see what I can do with her."  "You'll be too late," said Jacomina.  "I'll be there before you can say Jack Robinson."  "Well, I'll wait for you, then."  "I'll be there before you can say Jack Robinson."  "I	1
The wolf is in a trap; for ten long years he will have to bite the door before it opens. Aletta, are you taking the part of this wolf—the jackal in a mans skin, against me?	0
"I have no right to say anything, but I cannot help thinking that you are too hard on him." "Too hard! I? I am not hard enough. I have been too lenient with him. I have let him go free, and I have let him go free because I could not bring myself to do otherwise." "But you know that he is guilty." "Yes, I know it. But I cannot bring myself to believe that he is guilty of murder." "You cannot	1
Stephanus shot me by accident-I accused him falsely because I hated him all my life.	0
"I have been a fool, Marta, a fool! I have been a fool! I have been a fool!"  He was sobbing now, and his voice was choked with sobs.  "I have been a fool! I have been a fool! I have been a fool!"  He repeated it over and over again, and then he fell back into his chair, and sat there, his head resting on his hands, and his shoulders shaking with sobs.  "	1
Kanu, are you here? Oh God, the baboons. Kanu-Kanu.	0
"Kanu! Kanu! Where are you? I want you!"  "Poor little blind child."  "I want you, Kanu! I want you!"  "Poor little blind child."  "Kanu! Kanu! Where are you?"  "Poor little	1
Uncle Gideon, my father sent me back to live with you until his release.	0
"I am going to stay with Gideon," she said, "and I am going to be his little sister."  "I am going to be his little sister," she repeated, and her eyes shone with a strange light.  "I am going to be his little sister," she said again, and her eyes shone with a strange light.  "I am going to be his little sister," she said, and her eyes shone with a strange light.  "I am going to be his little sister," she said, and her eyes shone with a strange light	1
You haven't had a single examination class yet; then it is clearly your duty to help the afflicted. Bear ye one another's burdens, you know. I shall have enough examination papers of my own before night.	0
"I wish you would help me with these papers, Marion. I am so tired of them. They are so stupid, and they don't seem to know anything."  "I think they are very clever," said Marion. "I have never seen such a lot of dull, stupid fellows in my life."  "Oh, yes, they are dull enough, but they are not stupid.	1
Just let me ask you a question. Why did you think, before you were converted, that it was wrong for Christian people to dance?	0
